"COUNTRY,""Country"",""SERIES"",""Series"",""TIME"",""Time"",""Unit Code"",""Unit"",""PowerCode Code"",""PowerCode"",""Reference Period Code"",""Reference Period"",""Value"",""Flag Codes"",""Flags"""
"BEL,""Belgium"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,44164.5634384265,,"
"BEL,""Belgium"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,44696.7740364209,,"
"BEL,""Belgium"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,45840.7857743112,,"
"BEL,""Belgium"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,46948.1003895357,,"
"BEL,""Belgium"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,45832.5802235337,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""CZK"",""Czech Koruna"",""0"",""Units"",,,246762.759941746,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""CZK"",""Czech Koruna"",""0"",""Units"",,,261210.835493138,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""CZK"",""Czech Koruna"",""0"",""Units"",,,276932.766284543,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""CZK"",""Czech Koruna"",""0"",""Units"",,,291237.485241254,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""CZK"",""Czech Koruna"",""0"",""Units"",,,292657.003160429,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""CZK"",""Czech Koruna"",""0"",""Units"",,,303125.333646479,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""CZK"",""Czech Koruna"",""0"",""Units"",,,310844.016411147,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""CZK"",""Czech Koruna"",""0"",""Units"",,,318181.555668437,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""CZK"",""Czech Koruna"",""0"",""Units"",,,318402.503481924,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""CZK"",""Czech Koruna"",""0"",""Units"",,,327885.867715544,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""CZK"",""Czech Koruna"",""0"",""Units"",,,337642.41358242,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""CZK"",""Czech Koruna"",""0"",""Units"",,,351080.89622829,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""CZK"",""Czech Koruna"",""0"",""Units"",,,377614.646310372,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""CZK"",""Czech Koruna"",""0"",""Units"",,,407796.42868892,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""CZK"",""Czech Koruna"",""0"",""Units"",,,432564.379792896,,"
"CZE,""Czech Republic"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""CZK"",""Czech Koruna"",""0"",""Units"",,,437975.324701025,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""DKK"",""Danish Krone"",""0"",""Units"",,,319141.89847385,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""DKK"",""Danish Krone"",""0"",""Units"",,,331722.982656286,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""DKK"",""Danish Krone"",""0"",""Units"",,,341182.980832361,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""DKK"",""Danish Krone"",""0"",""Units"",,,355791.127297138,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""DKK"",""Danish Krone"",""0"",""Units"",,,369032.953977034,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""DKK"",""Danish Krone"",""0"",""Units"",,,382509.394590747,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""DKK"",""Danish Krone"",""0"",""Units"",,,389462.285394014,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""DKK"",""Danish Krone"",""0"",""Units"",,,398104.934335055,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""DKK"",""Danish Krone"",""0"",""Units"",,,403942.255787006,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""DKK"",""Danish Krone"",""0"",""Units"",,,414155.457709432,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""DKK"",""Danish Krone"",""0"",""Units"",,,423072.855190252,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""DKK"",""Danish Krone"",""0"",""Units"",,,424201.602078582,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""DKK"",""Danish Krone"",""0"",""Units"",,,430909.966873213,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""DKK"",""Danish Krone"",""0"",""Units"",,,437645.569543849,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""DKK"",""Danish Krone"",""0"",""Units"",,,442580.86951215,,"
"DNK,""Denmark"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""DKK"",""Danish Krone"",""0"",""Units"",,,447520.944312762,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,30888.5314693278,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,31974.303300117,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,33031.7615015965,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,34447.9181776534,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,35400.8234113759,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,36412.6698223984,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""EUR"",""Euro"",""0"",""Units"",,,37637.1117244606,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""EUR"",""Euro"",""0"",""Units"",,,38738.2196517327,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""EUR"",""Euro"",""0"",""Units"",,,39292.7180181374,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""EUR"",""Euro"",""0"",""Units"",,,39795.5173050463,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""EUR"",""Euro"",""0"",""Units"",,,40297.0452898599,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,40731.2297753434,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,40924.6700668684,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,41763.334076127,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2019"",""2019"",""EUR"",""Euro"",""0"",""Units"",,,42618.5101806077,,"
"FIN,""Finland"",""CPNCU"",""Current prices in NCU"",""2020"",""2020"",""EUR"",""Euro"",""0"",""Units"",,,42769.009492092,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2005"",""2005"",""EUR"",""Euro"",""0"",""Units"",,,29853.4789067677,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2006"",""2006"",""EUR"",""Euro"",""0"",""Units"",,,30841.9980497718,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2007"",""2007"",""EUR"",""Euro"",""0"",""Units"",,,31612.9849184353,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2008"",""2008"",""EUR"",""Euro"",""0"",""Units"",,,32420.2271181031,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2009"",""2009"",""EUR"",""Euro"",""0"",""Units"",,,32956.7505085747,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2010"",""2010"",""EUR"",""Euro"",""0"",""Units"",,,33992.964065117,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2011"",""2011"",""EUR"",""Euro"",""0"",""Units"",,,34562.4231906349,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2012"",""2012"",""EUR"",""Euro"",""0"",""Units"",,,35290.4124787974,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2013"",""2013"",""EUR"",""Euro"",""0"",""Units"",,,35834.5946801646,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2014"",""2014"",""EUR"",""Euro"",""0"",""Units"",,,36123.8681452612,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2015"",""2015"",""EUR"",""Euro"",""0"",""Units"",,,36580.0534717147,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2016"",""2016"",""EUR"",""Euro"",""0"",""Units"",,,37095.8585727489,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2017"",""2017"",""EUR"",""Euro"",""0"",""Units"",,,37915.8758566428,,"
"FRA,""France"",""CPNCU"",""Current prices in NCU"",""2018"",""2018"",""EUR"",""Euro"",""0"",""Units"",,,38556.1575193363,,"
