LOCATION,Average_Infilation,Average GDP
Austria,1.8270165338888888,640.4206184156417
Belgium,1.7673219998148146,709.6307287721248
Switzerland,0.1108159216296296,1079.328676236741
Cezch Republic,2.1283558277777774,
Germany,1.3083789125925926,597.3608270823854
Denmark,1.3316852033333328,829.0409139050382
Spain,1.2304642796296301,470.19413128246794
Estonia,2.5345282227777766,248.62724609943106
Finland,1.3403034044444444,679.6560975350251
France,1.1183315936296296,627.5100607610138
United Kingdom,2.059259259259259,591.5761562925861
Greece,0.7824866094444446,448.1345280551205
Hungary,3.0011906881481476,201.1107272587864
Ireland,0.3790047566666668,987.3950383114487
Iceland,4.52861711111111,643.0544518323584
Italy,1.1976225977777775,653.8759142252779
Lithuania,2.6783301764814813,216.74719744767503
Luxembourg,1.6268255034444439,1530.6909585411029
Latvia,2.565610084853704,207.70820892439426
Netherlands,1.6360011143518516,819.6522968395864
Norway,2.206972587037037,1095.63876319285
Poland,2.127777785185186,211.99509934630328
Portugal,1.0126125387777776,314.69617086938257
Slovakia,1.808705245,238.64018329693175
Slovenia,1.421727397962963,321.28231141593807
Sweden,1.1513984485925925,703.9462300165468
