LOCATION,Average_Infilation,Average GDP
Austria,1.8235339227777776,638.293470717832
Belgium,1.7449233516666665,707.7679746440162
Switzerland,0.08045060125925925,1076.055141493279
Czechia,2.0670228092592593,267.62242404291084
Germany,1.3260504496296295,595.3797575539057
Denmark,1.3103857959259257,827.0449256058047
Spain,1.212227927777778,470.1429738108134
Estonia,2.4320246857407404,246.18411928827774
Finland,1.3102906822222222,677.1866832129583
France,1.0956632232592591,626.3238645524716
United Kingdom,2.062962962962963,591.6510075615524
Greece,0.7373021464814818,448.28925100203566
Hungary,2.9657422066666665,200.1945014628975
Ireland,0.3455509233333333,977.320083056621
Iceland,4.475821148148148,638.7977633574892
Italy,1.181332505185185,653.4762617496599
Lithuania,2.581694009814815,214.6737237476364
Luxembourg,1.6116200034444441,1527.0097271866384
Latvia,2.3321595663351857,205.64485096729237
Netherlands,1.6364722439814812,818.3564573197992
Norway,2.206214864814815,1095.0890226243405
Poland,2.153086433333334,210.99900243198792
Portugal,0.9860126498888887,314.2247604638439
Slovakia,1.8060395042592592,237.53103625550955
Slovenia,1.3399486016666666,319.8971783170388
Sweden,1.1281496522962964,703.2281785253595
